,ID,Brand,Harga,Model,Varian,Tahun,Transmisi,Tipe bahan bakar,Jarak tempuh,Warna,Tipe body,Kapasitas mesin,Sistem Penggerak,Tipe Penjual,Nama Bursa Mobil,URL,Fitur tambahan,Kadaluwarsa Pajak
829,536866189,Toyota,127000000.0,Avanza,G,2012,Manual,Bensin,100.000-105.000,Hitam,Minibus,≤1.000 - 1.500 cc,4X2,Individu,,https://www.olx.co.id/iklan/avanza-g-2012-bm-manual-kondisi-super-pemakaian-pribadi-IDAkDq5.html?ad_type=OR#58c120b97f,"Sensor Parkir, Electric Window, Kamera Belakang","20, Feb 2020"
830,536866119,Suzuki,20000000.0,Forsa,,1986,Manual,Bensin,145.000-150.000,Putih,,,,,,https://www.olx.co.id/iklan/dijual-mbil-suzuki-forza-thun-86-ss-lengkap-plat-hidup-siap-jln-jauh-IDAkDoX.html?ad_type=OR#58c120b97f,,
831,536866061,Honda,105000000.0,Brio,,2015,Manual,Bensin,25.000-30.000,Abu-abu,,,,,,https://www.olx.co.id/iklan/di-jual-cepat-mobil-brio-2015-masih-mulus-IDAkDo1.html?ad_type=OR#58c120b97f,,
832,535066978,Suzuki,120500000.0,Carry Pick-up,,2019,Manual,Bensin,0-5.000,Lainnya,,,,,,https://www.olx.co.id/iklan/mobil-baru-suzuki-new-carry-pick-up-2019-dp-promo-6-juta-IDAd5my.html?ad_type=HL#192a15bbe3;promoted,,
833,536127252,Suzuki,137000000.0,Swift,GX,2014,Manual,Bensin,50.000-55.000,Putih,Compact & City Car,≤1.000 - 1.500 cc,,Diler,,https://www.olx.co.id/iklan/suzuki-new-swift-gx-manual-2014-IDAhxbK.html?ad_type=HL#192a15bbe3;promoted,,"05, Mar 2020"
834,534074817,Suzuki,117000000.0,SX4,Cross Over,2010,Manual,Bensin,70.000-75.000,Putih,,,,,,https://www.olx.co.id/iklan/x-over-1-5-mt-2010-IDA8WfX.html?ad_type=HL#192a15bbe3;promoted,,
835,536866079,Suzuki,120000000.0,Swift,ST,2011,Manual,Bensin,15.000-20.000,Biru,Hatchback,≤1.000 - 1.500 cc,4X4,Individu,,https://www.olx.co.id/iklan/suzuki-swift-2011-IDAkDoj.html?ad_type=OR#192a15bbe3,"Sensor Parkir, Airbag, Jok kulit, Bluetooth Audio, Electric Window","26, Jul 2019"
836,536866093,Daihatsu,85000000.0,Xenia,Xi,2005,Manual,Bensin,160.000-165.000,Silver,MPV,≤1.000 - 1.500 cc,Rear Wheel Drive (RWD),Individu,,https://www.olx.co.id/iklan/daihatsu-xenia-xi-1-3-2005-IDAkDox.html?ad_type=OR#192a15bbe3,"Jok kulit, Electric Window","19, Dec 2019"
837,535300703,Toyota,280000000.0,Innova,,2019,Manual,Bensin,0-5.000,Putih,,,,,,https://www.olx.co.id/iklan/mobil-baru-toyota-kijang-innova-g-manual-nik-2019-all-colour-IDAe4aj.html?ad_type=OR#192a15bbe3;promoted,,
838,535303560,Toyota,126200000.0,Agya,,2019,Manual,Bensin,0-5.000,Silver,,,,,,https://www.olx.co.id/iklan/mobil-baru-toyota-agya-mt-trd-nik-2019-all-colour-IDAe4Uo.html?ad_type=OR#192a15bbe3;promoted,,
